"Step","dataset: cifar10 shuffle_degree: cifar10 - TEST/x1","dataset: cifar10 shuffle_degree: cifar10 - TEST/x1__MIN","dataset: cifar10 shuffle_degree: cifar10 - TEST/x1__MAX","dataset: cifar10 shuffle_degree: cifar10 - TEST/x2","dataset: cifar10 shuffle_degree: cifar10 - TEST/x2__MIN","dataset: cifar10 shuffle_degree: cifar10 - TEST/x2__MAX","dataset: cifar10 shuffle_degree: cifar10 - TEST/x3","dataset: cifar10 shuffle_degree: cifar10 - TEST/x3__MIN","dataset: cifar10 shuffle_degree: cifar10 - TEST/x3__MAX","dataset: cifar10 shuffle_degree: cifar10 - TEST/x4","dataset: cifar10 shuffle_degree: cifar10 - TEST/x4__MIN","dataset: cifar10 shuffle_degree: cifar10 - TEST/x4__MAX","dataset: cifar10 shuffle_degree: cifar10 - TEST/logits","dataset: cifar10 shuffle_degree: cifar10 - TEST/logits__MIN","dataset: cifar10 shuffle_degree: cifar10 - TEST/logits__MAX"
"27","0.9036632860639966","0.8760322292688112","0.9269192355844297","0.8275230317506661","0.7933207497548294","0.8441084961588222","0.6736920604894745","0.6216440606704994","0.7076984035261651","0.4443042149220696","0.39797389683562917","0.5032897505500565","0.13018251750391024","0.10566741902709575","0.16652715303370547"
"28","0.9044267893007101","0.881035019948694","0.9270471891249447","0.8277116040516039","0.7979697627662061","0.8510043403106979","0.6745664869463167","0.6211724966854055","0.7141085514869445","0.4440700173252171","0.39078697359590836","0.5034434206269385","0.1320787229110585","0.10523627939966536","0.16508289844946983"
"29","0.9054564516104001","0.8835411307198417","0.9285737893126044","0.8318097044798449","0.804357639454804","0.8534831611350527","0.6796267993357593","0.6256837914086937","0.7177906969286529","0.44798338640042684","0.38853677058202757","0.5065307351306604","0.13197316730852018","0.0977742394771554","0.1707147106934435"
"30","0.9007033072993499","0.8710391542696692","0.9234532288971905","0.8255790486221317","0.8017020198860174","0.842601427226457","0.6718252897467283","0.6166397862062775","0.7070642172748169","0.44004897613792976","0.3855038782638927","0.4957541593324328","0.13125811781922583","0.10556723470882794","0.15975887199383879"
"31","0.9007421138563995","0.8764267935435922","0.9198776121609701","0.8317537644140536","0.824582639350396","0.8448561966082624","0.6745116516956082","0.6221847311872803","0.69624160549847","0.43949990536947325","0.38588688690553846","0.49750061179193145","0.12216098709870785","0.09337634105858522","0.16635115120466148"
"32","0.8971770297776095","0.8731688681307285","0.9195643608427579","0.8267463734802597","0.8180438625999116","0.8449558940391015","0.6764824900652464","0.6206363925307057","0.6958108966866474","0.4404809141278073","0.39232660882714177","0.48502434394345745","0.12450347288800576","0.10251795756917115","0.1695995013684899"
"33","0.8987879414207871","0.8694385603011155","0.9240057207002708","0.830133010157606","0.8224637908699816","0.8435451457699217","0.6715732167072695","0.6156395441812236","0.6954498768037934","0.4413088347942498","0.3939986410720854","0.49113345341737386","0.12406294096239914","0.10324199449928695","0.16645161761880295"
"34","0.8974760991770993","0.8727193731076572","0.9185068301868641","0.8308103997199465","0.8222483321451769","0.8477263556272154","0.6721114608147557","0.6099476367508193","0.6951197903878575","0.4393858087991749","0.38627736533606083","0.4841443696230866","0.12473296831471226","0.10621122576735939","0.15898812823181177"
"35","0.8994214143196846","0.8773352830710338","0.9226118861796202","0.8314351627989056","0.8267772877791225","0.8451770412338894","0.6740979851109759","0.6190494145522096","0.7026984062314958","0.4368486135537526","0.38594880415061344","0.4854155595607056","0.12374634158497111","0.10587462301420338","0.15758032408317219"
"36","0.9013726891792857","0.8796940418099709","0.9240721636493748","0.8316312269138433","0.825690676394321","0.8465665762888418","0.6745811787054228","0.6154514198689726","0.6997831986562889","0.4393065578136974","0.39253055469652226","0.4904598043675419","0.1268106869419346","0.10747206506974032","0.1638646863784318"
"37","0.8964508907591877","0.8746495772246544","0.9207555775302911","0.829818183438908","0.8189441610725744","0.8447697061614342","0.6714653936809197","0.6135610114956266","0.6974574613396606","0.43363365048308483","0.38156450803268954","0.4837590824413092","0.12261165837881063","0.09867627825987782","0.15192636435773754"
"38","0.89462346107505","0.8696547588209352","0.9169350646179035","0.8264053956412678","0.818053497188734","0.8439270913130353","0.6664145434620068","0.6081282717177082","0.6976710441785946","0.43547289708707027","0.3819026987141375","0.48481429581851215","0.12387392750907752","0.09937714490744085","0.1550081902773028"
"39","0.8959150765643662","0.8729318267699256","0.9197139228912213","0.8294739833745963","0.8196178144397742","0.8443493056179815","0.6716026150714327","0.6183847547320979","0.6928426526964526","0.4348816606190825","0.37393769041153607","0.4915146694446666","0.1268109496755901","0.11265110430629657","0.16078514626081566"
"40","0.8974699645286144","0.8713234248104853","0.9194802008177609","0.8300442606583955","0.8201349538522629","0.8437648432229067","0.6709179830257337","0.61560573591594","0.6979556986846617","0.43136507614812725","0.37597732147834767","0.49023012353754564","0.12374140038248779","0.10183058997668736","0.16426964768433394"
"41","0.8963287198791605","0.867284740940722","0.9196734485327449","0.8291103037393869","0.8244506656714994","0.8445511082324201","0.6712841387070996","0.6107292420149258","0.6935162137603103","0.43115696883065285","0.3623897002272199","0.48706684654423155","0.12643147273757177","0.09757184987299092","0.16264098196513452"
"42","0.8951474316950309","0.8698501375182034","0.9211540268611924","0.82818809249943","0.8206450046507634","0.8406434165390803","0.6712073915374174","0.6193396408685411","0.6890361589560825","0.43336764773138076","0.3688203206740551","0.4809220010220841","0.1259328279533371","0.10302247238576294","0.16551113695351666"
"43","0.8976332500963631","0.8745197375678476","0.9164840008342162","0.8264745294570404","0.8189598464088347","0.8420646784835326","0.670949233528719","0.614782420087072","0.6898708434187227","0.4338580986461846","0.3771364468233668","0.481904452680132","0.12656796245893848","0.1002602672136057","0.17911027124344478"
"44","0.894001307035853","0.8726358290477465","0.9172399252901114","0.8296168605216835","0.823889225941536","0.8442000838842632","0.6739343594839988","0.6218249856712282","0.6932293190241425","0.4368433509841264","0.38052041573915607","0.48686102501070466","0.12692654837178402","0.10696217827995007","0.16894618403679873"
"45","0.8955286413136554","0.8705972513008781","0.9197046640378291","0.8291886370792156","0.82187769563908","0.844819019825646","0.6724910679136722","0.6173018401524678","0.6917156749218255","0.4332787499692536","0.37506111182589247","0.47753587187573926","0.1235844948826231","0.0972153618227629","0.17502027891196592"
"46","0.8941023857571645","0.8714946730247776","0.91497124359608","0.8263981384521706","0.8205795959915951","0.8367693068594307","0.673557598676721","0.6243817160532238","0.6943858297393088","0.43701382989614695","0.3852281562724654","0.48436448023500617","0.12520810758346373","0.10097616299893665","0.1603358677296015"
"47","0.8963517454710332","0.86602581856812","0.9188738024045829","0.8282265419715806","0.8217411231741476","0.8451591679783687","0.6713029196940201","0.6160268142648317","0.689839631032829","0.43377072902000274","0.37412758216288744","0.4837839078090932","0.12684238706489886","0.10443837445544243","0.17301275950331868"
"48","0.8953170404852481","0.8722786473554781","0.9172361097009418","0.8284920354106253","0.8242285310668327","0.8367238333628131","0.6744712482559223","0.6189717463160987","0.6996487509818264","0.43276246774725424","0.37578803577777176","0.48420805653013677","0.12669271528451242","0.10302455832639269","0.1719325418392462"
"49","0.8926511987422014","0.8695256975155324","0.916246787034017","0.8274629885043063","0.8226243318676276","0.840431274048482","0.6727317674150917","0.6174255884671371","0.695584891688018","0.43503689476396135","0.3897922946494739","0.4797169411167463","0.12401895240194412","0.10678161600223927","0.15748199845394145"
"50","0.9027222382175704","0.8812874761429539","0.9198374026397031","0.8279123388018179","0.8207471293330535","0.8426460475862448","0.670436730032705","0.615237743685903","0.6954885941018882","0.4363189458451776","0.3755152807844227","0.47629714991994965","0.11484661112676917","0.10209416637784274","0.1224558961642235"
"51","0.9014079038188233","0.8749711858149821","0.9191813960120943","0.8263350309720013","0.8217485112089897","0.8384483897578908","0.6698558943547253","0.6154997298774348","0.6954215450552343","0.4321366224601533","0.3779318119810106","0.4764109357506323","0.10982706755968177","0.10148773968167693","0.1187709752830476"
"52","0.8995892983081226","0.871901388276345","0.9164966182297521","0.8291531677956422","0.8225718438746696","0.8414529669342664","0.6711192364943379","0.6220994281904304","0.6961392539199528","0.4347239252832695","0.3784983494462498","0.4847671732131631","0.11422138119087757","0.10603425089965457","0.12501206639706505"
