"Name","Created","Runtime","End Time","Hostname","ID","Notes","GPU Type","State","Updated","Tags","CKAS/layer1","CKAS/layer2","CKAS/layer3","CKAS/layer4","CKAS/layer5","CKAS/layer6","TEST/accuracy","TRAIN/accuracy","TRAIN/loss"
"vgg16 imagenet shuffle_degree: 1 1 fintuning with 5000 samples","2024-01-18T09:36:26.000Z","4153","2024-01-18T10:45:39.000Z","matar","1lmn0ejl","-","NVIDIA TITAN RTX","finished","2024-01-18T10:45:39.000Z","","0.9992903623969152","0.9994967317350784","0.999169756200501","0.8990324924965378","0.908058892278992","0.3534816727528324","0","99.7","0.03277893319346343"
"vgg16 imagenet 5 fintuning with 5000 samples","2024-01-18T01:32:44.000Z","35209","2024-01-18T11:19:33.000Z","risha","10gmj39y","-","NVIDIA TITAN RTX","finished","2024-01-18T11:19:33.000Z","","0.9857632439053612","0.9930928374581433","0.9860884712274124","0.9601701342618888","0.854386473758934","0.290803964497616","0","59.72","1.4543895975799317"
"vgg16 imagenet shuffle_degree: 9 5 fintuning with 5000 samples","2024-01-17T20:53:14.000Z","3833","2024-01-17T21:57:07.000Z","matar","3o7fck0y","-","NVIDIA TITAN RTX","finished","2024-01-17T21:57:07.000Z","","0.9989458007512728","0.9995086293093391","0.9993911357295472","0.9131464663226392","0.9121421953345616","0.33414501267135766","0","99.62","0.03123690062766052"
"vgg16 imagenet shuffle_degree: 9 4 fintuning with 5000 samples","2024-01-17T19:48:14.000Z","3890","2024-01-17T20:53:04.000Z","matar","1tf60mlh","-","NVIDIA TITAN RTX","finished","2024-01-17T20:53:04.000Z","","0.9989144312093948","0.9995382842415652","0.9992706584708394","0.8866395108784323","0.9060027383602348","0.35380713455491153","0","99.56","0.02940974742541932"
"vgg16 imagenet shuffle_degree: 9 3 fintuning with 5000 samples","2024-01-17T18:42:05.000Z","3956","2024-01-17T19:48:01.000Z","matar","23khv4zv","-","NVIDIA TITAN RTX","finished","2024-01-17T19:48:01.000Z","","0.999151714774203","0.9995217297334764","0.9991946493169483","0.8919830297530476","0.9142785101698024","0.3378536823057419","0","99.64","0.028659730971713735"
"vgg16 imagenet 4 fintuning with 5000 samples","2024-01-17T17:44:25.000Z","28044","2024-01-18T01:31:49.000Z","risha","210tw35g","-","NVIDIA TITAN RTX","finished","2024-01-18T01:31:49.000Z","","0.9898892391799023","0.9924975635733444","0.9858105290916684","0.9641141876036406","0.8750949623421955","0.2671015305671703","0","63.44","1.5227904877844889"
"vgg16 imagenet shuffle_degree: 9 2 fintuning with 5000 samples","2024-01-17T17:38:23.000Z","3808","2024-01-17T18:41:51.000Z","matar","5g5ftuvs","-","NVIDIA TITAN RTX","finished","2024-01-17T18:41:51.000Z","","0.9985428973221332","0.9992114562228384","0.99928373910158","0.8899440673516172","0.9180603465135514","0.32456567019186877","0","99.62","0.03162997456231884"
"vgg16 imagenet shuffle_degree: 9 1 fintuning with 5000 samples","2024-01-17T15:59:52.000Z","5894","2024-01-17T17:38:06.000Z","matar","1nl9ah47","-","NVIDIA TITAN RTX","finished","2024-01-17T17:38:06.000Z","","0.9992903623969152","0.9994967317350784","0.999169756200501","0.8990324924965378","0.908058892278992","0.3534816727528324","0","99.7","0.03277893319346343"
"vgg16 imagenet 3 fintuning with 5000 samples","2024-01-17T10:16:20.000Z","26818","2024-01-17T17:43:18.000Z","risha","31fk6mvr","-","NVIDIA TITAN RTX","finished","2024-01-17T17:43:18.000Z","","0.9931149759049416","0.99240205303445","0.9821864592140728","0.9685746457930604","0.8621275125671897","0.24118845824867083","0","62.3","1.3885832413746293"
"vgg16 imagenet 2 fintuning with 5000 samples","2024-01-17T03:29:31.000Z","24355","2024-01-17T10:15:26.000Z","risha","vt5ruyi4","-","NVIDIA TITAN RTX","finished","2024-01-17T10:15:26.000Z","","0.9885122151978778","0.9905207047288808","0.9846656402997874","0.9469174966197031","0.7969726471367972","0.28679760669703136","0","64.38","1.3818741292710517"
"vgg16 imagenet 1 fintuning with 5000 samples","2024-01-16T23:27:44.000Z","14430","2024-01-17T03:28:14.000Z","risha","15stsw1l","-","NVIDIA TITAN RTX","finished","2024-01-17T03:28:14.000Z","","0.9799755740648274","0.9889192385317228","0.9815635087428356","0.9668959553152028","0.8806245811312357","0.2593254343787689","0","64.24","1.4961343601251105"
"resnet18 imagenet shuffle_degree: 4 5 fintuning with 5000 samples","2024-01-16T22:02:54.000Z","4754","2024-01-16T23:22:08.000Z","risha","2c8d28bz","-","NVIDIA TITAN RTX","finished","2024-01-16T23:22:08.000Z","","0.9994747131049324","0.9992989019807632","0.9988793293011874","0.9807620994953968","0.892772039175876","0.5363059366897402","0","99.8","0.037430972062573314"
"resnet18 imagenet shuffle_degree: 9 5 fintuning with 5000 samples","2024-01-16T22:01:50.000Z","4828","2024-01-16T23:22:18.000Z","risha","1rliceuu","-","NVIDIA TITAN RTX","finished","2024-01-16T23:22:18.000Z","","0.9994747131049324","0.9992989019807632","0.9988793293011874","0.9807620994953968","0.892772039175876","0.5363059366897402","0","99.8","0.037430972062573314"
"vgg16 imagenet shuffle_degree: 9 5 fintuning with 5000 samples","2024-01-16T21:19:55.000Z","11028","2024-01-17T00:23:43.000Z","matar","37zdcym0","-","NVIDIA TITAN RTX","finished","2024-01-17T00:23:43.000Z","","0.9818129843276888","0.99065016443064","0.9821882081759952","0.9604152268661554","0.8558027297255039","0.2843277206640075","0","61.78","1.4459149955184596"
"vgg16 imagenet shuffle_degree: 4 5 fintuning with 5000 samples","2024-01-16T20:52:29.000Z","12398","2024-01-17T00:19:07.000Z","matar","2ozl6ax9","-","NVIDIA TITAN RTX","finished","2024-01-17T00:19:07.000Z","","0.9818129843276888","0.99065016443064","0.9821882081759952","0.9604152268661554","0.8558027297255039","0.2843277206640075","0","61.78","1.4459149955184596"
"resnet18 imagenet shuffle_degree: 4 4 fintuning with 5000 samples","2024-01-16T20:39:00.000Z","4975","2024-01-16T22:01:55.000Z","risha","3bk4v39z","-","NVIDIA TITAN RTX","finished","2024-01-16T22:01:55.000Z","","0.9989790882313804","0.9992432228915188","0.998973704806516","0.9814635900828852","0.8844554416490205","0.5293441658371756","0","99.84","0.0379859631774342"
